,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,40415.0,0.00013750000000000212,1.0,1.0,10% Cluster,Baseline,No Holding
1,37304.0,0.0001282100000000018,0.9324363636363624,0.9230236298404058,10% Cluster,PHS4D,No Holding
2,20243.0,6.877499999999846e-05,0.5001818181817993,0.5008783867375974,10% Cluster,PHS4H,No Holding
3,8844.0,3.0259999999999483e-05,0.22007272727272012,0.21882964245948286,10% Cluster,PHSInt,No Holding
4,20380.0,7.078499999999842e-05,0.5147999999999806,0.504268217246072,10% Cluster,HTrad,No Holding
5,19761.0,6.696999999999851e-05,0.48705454545452714,0.48895212173697883,10% Cluster,RSTrad,No Holding
6,40139.0,0.00013617500000000227,0.9903636363636376,0.9931708524062848,10% Cluster,FPSTrad,No Holding
7,39402.0,0.00013523000000000221,0.98349090909091,0.9749350488679945,10% Cluster,CS,No Holding
0,5709.0,1.9724999999999697e-05,1.0,1.0,Random Uniform Unclustered,Baseline,No Sanitation
1,4813.0,1.676999999999977e-05,0.8501901140684425,0.8430548257137852,Random Uniform Unclustered,PHS4D,No Sanitation
2,5032.0,1.7419999999999704e-05,0.8831432192648908,0.8814153091609739,Random Uniform Unclustered,PHS4H,No Sanitation
3,3841.0,1.338999999999983e-05,0.6788339670468966,0.6727973375372219,Random Uniform Unclustered,PHSInt,No Sanitation
4,5033.0,1.754499999999973e-05,0.8894803548795944,0.8815904711858469,Random Uniform Unclustered,HTrad,No Sanitation
5,4913.0,1.7214999999999743e-05,0.8727503168567811,0.860571028201086,Random Uniform Unclustered,RSTrad,No Sanitation
6,5709.0,1.9724999999999697e-05,1.0,1.0,Random Uniform Unclustered,FPSTrad,No Sanitation
7,5704.0,1.9704999999999694e-05,0.9989860583016474,0.999124189875635,Random Uniform Unclustered,CS,No Sanitation
0,5850.0,2.025999999999966e-05,1.0,1.0,1% Cluster,Baseline,No Sanitation
1,4812.0,1.7139999999999792e-05,0.8460019743336663,0.8225641025641026,1% Cluster,PHS4D,No Sanitation
2,5233.0,1.8239999999999676e-05,0.9002961500493575,0.8945299145299145,1% Cluster,PHS4H,No Sanitation
3,4180.0,1.4339999999999783e-05,0.7077986179664375,0.7145299145299145,1% Cluster,PHSInt,No Sanitation
4,5438.0,1.84499999999997e-05,0.9106614017769007,0.9295726495726496,1% Cluster,HTrad,No Sanitation
5,5211.0,1.8554999999999706e-05,0.9158440276406722,0.8907692307692308,1% Cluster,RSTrad,No Sanitation
6,5833.0,1.9789999999999633e-05,0.9768015794669281,0.9970940170940171,1% Cluster,FPSTrad,No Sanitation
7,5766.0,1.974499999999969e-05,0.9745804540967434,0.9856410256410256,1% Cluster,CS,No Sanitation
0,6070.0,2.0879999999999654e-05,1.0,1.0,10% Cluster,Baseline,No Sanitation
1,4579.0,1.5879999999999834e-05,0.7605363984674376,0.7543657331136738,10% Cluster,PHS4D,No Sanitation
2,5571.0,1.8884999999999685e-05,0.9044540229885056,0.9177924217462933,10% Cluster,PHS4H,No Sanitation
3,4184.0,1.398999999999981e-05,0.6700191570881247,0.6892915980230643,10% Cluster,PHSInt,No Sanitation
4,5311.0,1.819999999999969e-05,0.8716475095785436,0.8749588138385502,10% Cluster,HTrad,No Sanitation
5,5333.0,1.814499999999968e-05,0.869013409961685,0.8785831960461286,10% Cluster,RSTrad,No Sanitation
6,6093.0,2.1024999999999623e-05,1.006944444444443,1.0037891268533772,10% Cluster,FPSTrad,No Sanitation
7,5993.0,1.982499999999966e-05,0.9494731800766277,0.9873146622734761,10% Cluster,CS,No Sanitation
0,6619.0,1.8874999999999696e-05,1.0,1.0,Random Uniform Unclustered,Baseline,No Precooling
1,5282.0,1.5379999999999826e-05,0.8148344370860966,0.7980057410484968,Random Uniform Unclustered,PHS4D,No Precooling
2,5881.0,1.6729999999999753e-05,0.8863576158940409,0.8885027949841365,Random Uniform Unclustered,PHS4H,No Precooling
3,4502.0,1.2949999999999856e-05,0.6860927152317915,0.6801631666414867,Random Uniform Unclustered,PHSInt,No Precooling
4,5816.0,1.6714999999999724e-05,0.8855629139072844,0.8786825804502191,Random Uniform Unclustered,HTrad,No Precooling
5,5953.0,1.6854999999999733e-05,0.8929801324503314,0.8993805710832452,Random Uniform Unclustered,RSTrad,No Precooling
6,6596.0,1.8794999999999707e-05,0.995761589403974,0.9965251548572291,Random Uniform Unclustered,FPSTrad,No Precooling
7,6632.0,1.88499999999997e-05,0.9986754966887419,1.0019640429067835,Random Uniform Unclustered,CS,No Precooling
